xflr5 v6.57

Plane name :        R23_LR315_192in_AR_8,46
Polar name :        R23_LR315_192in_AR_8,46-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000   0.126439   0.000663   0.129859   0.130522   0.000000   0.000000  -0.351612   0.000000   0.000000   12.0000     1.7431
   -9.000     0.000   0.212141   0.001747   0.120967   0.122714   0.000000   0.000000  -0.386131   0.000000   0.000000   12.0000     1.1297
   -8.000     0.000   0.297818   0.003383   0.101779   0.105162   0.000000   0.000000  -0.421137   0.000000   0.000000   12.0000     0.8691
   -7.000     0.000   0.383414   0.005571   0.082025   0.087596   0.000000   0.000000  -0.456024   0.000000   0.000000   12.0000     0.7249
   -6.000     0.000   0.468875   0.008311   0.060845   0.069156   0.000000   0.000000  -0.490745   0.000000   0.000000   12.0000     0.6333
   -5.000     0.000   0.554144   0.011600   0.048336   0.059936   0.000000   0.000000  -0.524892   0.000000   0.000000   12.0000     0.5700
   -4.000     0.000   0.639168   0.015433   0.038558   0.053992   0.000000   0.000000  -0.558713   0.000000   0.000000   12.0000     0.5236
   -3.000     0.000   0.723893   0.019806   0.029490   0.049295   0.000000   0.000000  -0.592278   0.000000   0.000000   12.0000     0.4882
   -2.000     0.000   0.808263   0.024709   0.021839   0.046549   0.000000   0.000000  -0.625556   0.000000   0.000000   12.0000     0.4603
   -1.000     0.000   0.892225   0.030135   0.018787   0.048922   0.000000   0.000000  -0.658519   0.000000   0.000000   12.0000     0.4377
    0.000     0.000   0.975727   0.036072   0.017190   0.053262   0.000000   0.000000  -0.691202   0.000000   0.000000   12.0000     0.4191
    1.000     0.000   1.058715   0.042507   0.016163   0.058670   0.000000   0.000000  -0.723596   0.000000   0.000000   12.0000     0.4035
    2.000     0.000   1.141139   0.049428   0.015725   0.065153   0.000000   0.000000  -0.755676   0.000000   0.000000   12.0000     0.3902
    3.000     0.000   1.222947   0.056817   0.015436   0.072253   0.000000   0.000000  -0.787409   0.000000   0.000000   12.0000     0.3789
    4.000     0.000   1.304089   0.064660   0.015578   0.080237   0.000000   0.000000  -0.818767   0.000000   0.000000   12.0000     0.3690
    5.000     0.000   1.384517   0.072936   0.015787   0.088723   0.000000   0.000000  -0.849708   0.000000   0.000000   12.0000     0.3603
    6.000     0.000   1.464183   0.081626   0.016002   0.097628   0.000000   0.000000  -0.880194   0.000000   0.000000   12.0000     0.3527
    7.000     0.000   1.543040   0.090710   0.016219   0.106929   0.000000   0.000000  -0.910189   0.000000   0.000000   12.0000     0.3460
    8.000     0.000   1.621042   0.100164   0.016419   0.116583   0.000000   0.000000  -0.939654   0.000000   0.000000   12.0000     0.3399
    9.000     0.000   1.698146   0.109966   0.016594   0.126561   0.000000   0.000000  -0.968555   0.000000   0.000000   12.0000     0.3346
   10.000     0.000   1.774309   0.120091   0.017038   0.137128   0.000000   0.000000  -0.996871   0.000000   0.000000   12.0000     0.3297
   11.000     0.000   1.849490   0.130512   0.017529   0.148041   0.000000   0.000000  -1.024561   0.000000   0.000000   12.0000     0.3254
   12.000     0.000   1.923648   0.141204   0.018094   0.159298   0.000000   0.000000  -1.051592  -0.000000   0.000000   12.0000     0.3214
   13.000     0.000   1.996746   0.152138   0.018721   0.170859   0.000000   0.000000  -1.077934  -0.000000   0.000000   12.0000     0.3178
   14.000     0.000   2.068748   0.163286   0.019432   0.182718   0.000000   0.000000  -1.103558  -0.000000   0.000000   12.0000     0.3146
   15.000     0.000   2.139617   0.174618   0.020245   0.194863   0.000000   0.000000  -1.128433  -0.000000   0.000000   12.0000     0.3116
   16.000     0.000   2.209322   0.186105   0.021249   0.207354   0.000000   0.000000  -1.152539  -0.000000   0.000000   12.0000     0.3089


