xflr5 v6.57

Plane name :        R23_LR315_216in_AR_10,65
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.575295   0.009974   0.048186   0.058160   0.000000   0.000000  -0.532470   0.000000   0.000000   12.0000     0.4967
   -4.500     0.000   0.620107   0.011586   0.043353   0.054940   0.000000   0.000000  -0.550181   0.000000   0.000000   12.0000     0.4750
   -4.000     0.000   0.664852   0.013319   0.038757   0.052076   0.000000   0.000000  -0.567833   0.000000   0.000000   12.0000     0.4562
   -3.500     0.000   0.709523   0.015171   0.033877   0.049047   0.000000   0.000000  -0.585434   0.000000   0.000000   12.0000     0.4399
   -3.000     0.000   0.754114   0.017141   0.030111   0.047252   0.000000   0.000000  -0.602949   0.000000   0.000000   12.0000     0.4255
   -2.500     0.000   0.798619   0.019229   0.025159   0.044388   0.000000   0.000000  -0.620425   0.000000   0.000000   12.0000     0.4127
   -2.000     0.000   0.843030   0.021434   0.021838   0.043272   0.000000   0.000000  -0.637809   0.000000   0.000000   12.0000     0.4012
   -1.500     0.000   0.887342   0.023754   0.020210   0.043963   0.000000   0.000000  -0.655107   0.000000   0.000000   12.0000     0.3910
   -1.000     0.000   0.931548   0.026189   0.018852   0.045041   0.000000   0.000000  -0.672338   0.000000   0.000000   12.0000     0.3817
   -0.500     0.000   0.975642   0.028736   0.017811   0.046547   0.000000   0.000000  -0.689501   0.000000   0.000000   12.0000     0.3733
    0.000     0.000   1.019617   0.031396   0.017082   0.048478   0.000000   0.000000  -0.706594   0.000000   0.000000   12.0000     0.3656
    0.500     0.000   1.063467   0.034167   0.016640   0.050806   0.000000   0.000000  -0.723614   0.000000   0.000000   12.0000     0.3586
    1.000     0.000   1.107186   0.037046   0.016423   0.053469   0.000000   0.000000  -0.740561   0.000000   0.000000   12.0000     0.3521
    1.500     0.000   1.150767   0.040033   0.016285   0.056317   0.000000   0.000000  -0.757430  -0.000000   0.000000   12.0000     0.3462
    2.000     0.000   1.194204   0.043125   0.015949   0.059074   0.000000   0.000000  -0.774213   0.000000   0.000000   12.0000     0.3407
    2.500     0.000   1.237492   0.046322   0.016123   0.062444   0.000000   0.000000  -0.790916  -0.000000   0.000000   12.0000     0.3356
    3.000     0.000   1.280623   0.049620   0.016252   0.065872   0.000000   0.000000  -0.807526   0.000000   0.000000   12.0000     0.3308
    3.500     0.000   1.323593   0.053020   0.016315   0.069334   0.000000   0.000000  -0.824038   0.000000   0.000000   12.0000     0.3264
    4.000     0.000   1.366394   0.056517   0.016408   0.072925   0.000000   0.000000  -0.840449   0.000000   0.000000   12.0000     0.3223
    4.500     0.000   1.409022   0.060111   0.016526   0.076636   0.000000   0.000000  -0.856754   0.000000   0.000000   12.0000     0.3185
    5.000     0.000   1.451470   0.063799   0.016666   0.080464   0.000000   0.000000  -0.872949   0.000000   0.000000   12.0000     0.3148
    5.500     0.000   1.493733   0.067578   0.016786   0.084364   0.000000   0.000000  -0.889026   0.000000   0.000000   12.0000     0.3115
    6.000     0.000   1.535804   0.071448   0.016897   0.088345   0.000000   0.000000  -0.904982   0.000000   0.000000   12.0000     0.3083
    6.500     0.000   1.577678   0.075404   0.017022   0.092426   0.000000   0.000000  -0.920813   0.000000   0.000000   12.0000     0.3053
    7.000     0.000   1.619350   0.079446   0.017113   0.096559   0.000000   0.000000  -0.936513   0.000000   0.000000   12.0000     0.3024
    7.500     0.000   1.660814   0.083570   0.017186   0.100756   0.000000   0.000000  -0.952076   0.000000   0.000000   12.0000     0.2997
    8.000     0.000   1.702064   0.087774   0.017362   0.105135   0.000000   0.000000  -0.967502   0.000000   0.000000   12.0000     0.2972
    8.500     0.000   1.743095   0.092054   0.017604   0.109658   0.000000   0.000000  -0.982788  -0.000000   0.000000   12.0000     0.2948
    9.000     0.000   1.783903   0.096410   0.017868   0.114277   0.000000   0.000000  -0.997926  -0.000000   0.000000   12.0000     0.2926
    9.500     0.000   1.824481   0.100837   0.018153   0.118990   0.000000   0.000000  -1.012912  -0.000000   0.000000   12.0000     0.2904
   10.000     0.000   1.864824   0.105333   0.018450   0.123783   0.000000   0.000000  -1.027742  -0.000000   0.000000   12.0000     0.2883
   10.500     0.000   1.904929   0.109895   0.018771   0.128666   0.000000   0.000000  -1.042411  -0.000000   0.000000   12.0000     0.2864
   11.000     0.000   1.944788   0.114520   0.019097   0.133617   0.000000   0.000000  -1.056914  -0.000000   0.000000   12.0000     0.2846
   11.500     0.000   1.984398   0.119206   0.019452   0.138658   0.000000   0.000000  -1.071250  -0.000000   0.000000   12.0000     0.2828
   12.000     0.000   2.023755   0.123948   0.019844   0.143792   0.000000   0.000000  -1.085413  -0.000000   0.000000   12.0000     0.2811
   12.500     0.000   2.062852   0.128745   0.020240   0.148985   0.000000   0.000000  -1.099397  -0.000000   0.000000   12.0000     0.2795
   13.000     0.000   2.101686   0.133592   0.020691   0.154283   0.000000   0.000000  -1.113203  -0.000000   0.000000   12.0000     0.2780
   13.500     0.000   2.140252   0.138487   0.021147   0.159634   0.000000   0.000000  -1.126822  -0.000000   0.000000   12.0000     0.2765
   14.000     0.000   2.178546   0.143427   0.021688   0.165115   0.000000   0.000000  -1.140255  -0.000000   0.000000   12.0000     0.2751
   14.500     0.000   2.216563   0.148408   0.022269   0.170677   0.000000   0.000000  -1.153497  -0.000000   0.000000   12.0000     0.2738
   15.000     0.000   2.254299   0.153427   0.023002   0.176429   0.000000   0.000000  -1.166555  -0.000000   0.000000   12.0000     0.2725


